Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to enable higher rate limits and faster downloads.
Attention backend: flash (cuda capability 9.0)
Vocab size: 8,192
Model config: {'sequence_len': 2048, 'vocab_size': 8192, 'n_layer': 10, 'n_head': 4, 'n_kv_head': 4, 'n_embd': 512, 'window_pattern': 'SSSL'}
Parameter counts:
  wte                     : 4,194,304
  value_embeds            : 0
  lm_head                 : 4,194,304
  transformer_matrices    : 31,457,280
  scalars                 : 20
  total                   : 39,845,908
Estimated FLOPs per token: 2.956984e+08
Scaling AdamW LRs by 1/sqrt(512/768) = 1.224745
Time budget: 300s
Gradient accumulation steps: 2

step 00000 (0.0%) | loss: 9.011198 | lrm: 1.00 | dt: 28549ms | tok/sec: 18,364 | mfu: 0.5% | epoch: 1 | remaining: 300s    
step 00001 (0.0%) | loss: 8.854731 | lrm: 1.00 | dt: 376ms | tok/sec: 1,395,055 | mfu: 41.7% | epoch: 1 | remaining: 300s    
step 00002 (0.0%) | loss: 8.442918 | lrm: 1.00 | dt: 378ms | tok/sec: 1,385,937 | mfu: 41.4% | epoch: 1 | remaining: 300s    
step 00003 (0.0%) | loss: 7.971707 | lrm: 1.00 | dt: 401ms | tok/sec: 1,307,970 | mfu: 39.1% | epoch: 1 | remaining: 300s    
step 00004 (0.0%) | loss: 7.578961 | lrm: 1.00 | dt: 381ms | tok/sec: 1,377,351 | mfu: 41.2% | epoch: 1 | remaining: 300s    
step 00005 (0.0%) | loss: 7.249170 | lrm: 1.00 | dt: 391ms | tok/sec: 1,340,288 | mfu: 40.1% | epoch: 1 | remaining: 300s    
step 00006 (0.0%) | loss: 6.998689 | lrm: 1.00 | dt: 395ms | tok/sec: 1,327,533 | mfu: 39.7% | epoch: 1 | remaining: 300s    
step 00007 (0.0%) | loss: 6.788762 | lrm: 1.00 | dt: 383ms | tok/sec: 1,367,999 | mfu: 40.9% | epoch: 1 | remaining: 300s    
step 00008 (0.0%) | loss: 6.609281 | lrm: 1.00 | dt: 396ms | tok/sec: 1,323,048 | mfu: 39.5% | epoch: 1 | remaining: 300s    
step 00009 (0.0%) | loss: 6.457671 | lrm: 1.00 | dt: 389ms | tok/sec: 1,347,931 | mfu: 40.3% | epoch: 1 | remaining: 300s    
step 00010 (0.0%) | loss: 6.328010 | lrm: 1.00 | dt: 388ms | tok/sec: 1,349,886 | mfu: 40.3% | epoch: 1 | remaining: 300s    
step 00011 (0.0%) | loss: 6.220041 | lrm: 1.00 | dt: 395ms | tok/sec: 1,327,854 | mfu: 39.7% | epoch: 1 | remaining: 300s    
step 00012 (0.1%) | loss: 6.124039 | lrm: 1.00 | dt: 389ms | tok/sec: 1,346,709 | mfu: 40.2% | epoch: 1 | remaining: 299s    
step 00013 (0.3%) | loss: 6.038555 | lrm: 1.00 | dt: 396ms | tok/sec: 1,322,753 | mfu: 39.5% | epoch: 1 | remaining: 299s    
step 00014 (0.4%) | loss: 5.966470 | lrm: 1.00 | dt: 388ms | tok/sec: 1,349,642 | mfu: 40.3% | epoch: 1 | remaining: 298s    
step 00015 (0.5%) | loss: 5.901585 | lrm: 1.00 | dt: 389ms | tok/sec: 1,348,057 | mfu: 40.3% | epoch: 1 | remaining: 298s    
step 00016 (0.7%) | loss: 5.846439 | lrm: 1.00 | dt: 395ms | tok/sec: 1,328,772 | mfu: 39.7% | epoch: 1 | remaining: 298s    
step 00017 (0.8%) | loss: 5.793422 | lrm: 1.00 | dt: 388ms | tok/sec: 1,350,734 | mfu: 40.4% | epoch: 1 | remaining: 297s    
step 00018 (0.9%) | loss: 5.745991 | lrm: 1.00 | dt: 396ms | tok/sec: 1,322,568 | mfu: 39.5% | epoch: 1 | remaining: 297s    
step 00019 (1.0%) | loss: 5.702231 | lrm: 1.00 | dt: 390ms | tok/sec: 1,346,046 | mfu: 40.2% | epoch: 1 | remaining: 296s    
step 00020 (1.2%) | loss: 5.662276 | lrm: 1.00 | dt: 392ms | tok/sec: 1,338,393 | mfu: 40.0% | epoch: 1 | remaining: 296s    
step 00021 (1.3%) | loss: 5.625457 | lrm: 1.00 | dt: 398ms | tok/sec: 1,318,942 | mfu: 39.4% | epoch: 1 | remaining: 296s    
step 00022 (1.4%) | loss: 5.593771 | lrm: 1.00 | dt: 387ms | tok/sec: 1,353,789 | mfu: 40.5% | epoch: 1 | remaining: 295s    
step 00023 (1.6%) | loss: 5.561207 | lrm: 1.00 | dt: 395ms | tok/sec: 1,326,369 | mfu: 39.6% | epoch: 1 | remaining: 295s    
step 00024 (1.7%) | loss: 5.530784 | lrm: 1.00 | dt: 392ms | tok/sec: 1,338,955 | mfu: 40.0% | epoch: 1 | remaining: 295s    
step 00025 (1.8%) | loss: 5.504870 | lrm: 1.00 | dt: 389ms | tok/sec: 1,347,571 | mfu: 40.3% | epoch: 1 | remaining: 294s    
step 00026 (2.0%) | loss: 5.480858 | lrm: 1.00 | dt: 395ms | tok/sec: 1,327,111 | mfu: 39.7% | epoch: 1 | remaining: 294s    
step 00027 (2.1%) | loss: 5.457719 | lrm: 1.00 | dt: 393ms | tok/sec: 1,334,615 | mfu: 39.9% | epoch: 1 | remaining: 293s    
step 00028 (2.2%) | loss: 5.437355 | lrm: 1.00 | dt: 390ms | tok/sec: 1,343,346 | mfu: 40.1% | epoch: 1 | remaining: 293s    
step 00029 (2.4%) | loss: 5.416475 | lrm: 1.00 | dt: 395ms | tok/sec: 1,328,571 | mfu: 39.7% | epoch: 1 | remaining: 293s    
step 00030 (2.5%) | loss: 5.394191 | lrm: 1.00 | dt: 389ms | tok/sec: 1,347,539 | mfu: 40.3% | epoch: 1 | remaining: 292s    
step 00031 (2.6%) | loss: 5.373691 | lrm: 1.00 | dt: 394ms | tok/sec: 1,329,983 | mfu: 39.7% | epoch: 1 | remaining: 292s    
step 00032 (2.7%) | loss: 5.355591 | lrm: 1.00 | dt: 395ms | tok/sec: 1,327,846 | mfu: 39.7% | epoch: 1 | remaining: 291s    
step 00033 (2.9%) | loss: 5.337773 | lrm: 1.00 | dt: 389ms | tok/sec: 1,346,999 | mfu: 40.3% | epoch: 1 | remaining: 291s    
step 00034 (3.0%) | loss: 5.314621 | lrm: 1.00 | dt: 394ms | tok/sec: 1,330,870 | mfu: 39.8% | epoch: 1 | remaining: 291s    
step 00035 (3.1%) | loss: 5.295958 | lrm: 1.00 | dt: 387ms | tok/sec: 1,354,700 | mfu: 40.5% | epoch: 1 | remaining: 290s    
