Attention backend: flash (cuda capability 9.0)
Vocab size: 8,192
Model config: {'sequence_len': 2048, 'vocab_size': 8192, 'n_layer': 8, 'n_head': 4, 'n_kv_head': 4, 'n_embd': 512, 'window_pattern': 'SSSL'}
Parameter counts:
  wte                     : 4,194,304
  value_embeds            : 8,388,608
  lm_head                 : 4,194,304
  transformer_matrices    : 25,166,080
  scalars                 : 16
  total                   : 41,943,312
Estimated FLOPs per token: 2.390769e+08
Scaling AdamW LRs by 1/sqrt(512/768) = 1.224745
Time budget: 300s
Gradient accumulation steps: 2

step 00000 (0.0%) | loss: 9.011198 | lrm: 1.00 | dt: 8807ms | tok/sec: 59,528 | mfu: 1.4% | epoch: 1 | remaining: 300s    
step 00001 (0.0%) | loss: 8.854699 | lrm: 1.00 | dt: 309ms | tok/sec: 1,695,811 | mfu: 41.0% | epoch: 1 | remaining: 300s    
step 00002 (0.0%) | loss: 8.442993 | lrm: 1.00 | dt: 315ms | tok/sec: 1,662,617 | mfu: 40.2% | epoch: 1 | remaining: 300s    
step 00003 (0.0%) | loss: 7.972226 | lrm: 1.00 | dt: 334ms | tok/sec: 1,567,428 | mfu: 37.9% | epoch: 1 | remaining: 300s    
step 00004 (0.0%) | loss: 7.580341 | lrm: 1.00 | dt: 371ms | tok/sec: 1,413,554 | mfu: 34.2% | epoch: 1 | remaining: 300s    
step 00005 (0.0%) | loss: 7.250305 | lrm: 1.00 | dt: 318ms | tok/sec: 1,650,416 | mfu: 39.9% | epoch: 1 | remaining: 300s    
step 00006 (0.0%) | loss: 6.999629 | lrm: 1.00 | dt: 314ms | tok/sec: 1,671,920 | mfu: 40.4% | epoch: 1 | remaining: 300s    
step 00007 (0.0%) | loss: 6.789235 | lrm: 1.00 | dt: 332ms | tok/sec: 1,577,678 | mfu: 38.1% | epoch: 1 | remaining: 300s    
step 00008 (0.0%) | loss: 6.609336 | lrm: 1.00 | dt: 318ms | tok/sec: 1,647,663 | mfu: 39.8% | epoch: 1 | remaining: 300s    
step 00009 (0.0%) | loss: 6.457497 | lrm: 1.00 | dt: 316ms | tok/sec: 1,657,508 | mfu: 40.0% | epoch: 1 | remaining: 300s    
step 00010 (0.0%) | loss: 6.327700 | lrm: 1.00 | dt: 327ms | tok/sec: 1,601,458 | mfu: 38.7% | epoch: 1 | remaining: 300s    
step 00011 (0.0%) | loss: 6.219508 | lrm: 1.00 | dt: 325ms | tok/sec: 1,614,846 | mfu: 39.0% | epoch: 1 | remaining: 300s    
step 00012 (0.1%) | loss: 6.123291 | lrm: 1.00 | dt: 316ms | tok/sec: 1,657,093 | mfu: 40.0% | epoch: 1 | remaining: 299s    
step 00013 (0.2%) | loss: 6.037588 | lrm: 1.00 | dt: 354ms | tok/sec: 1,480,607 | mfu: 35.8% | epoch: 1 | remaining: 299s    
step 00014 (0.3%) | loss: 5.965339 | lrm: 1.00 | dt: 325ms | tok/sec: 1,614,540 | mfu: 39.0% | epoch: 1 | remaining: 299s    
step 00015 (0.4%) | loss: 5.900546 | lrm: 1.00 | dt: 331ms | tok/sec: 1,582,092 | mfu: 38.2% | epoch: 1 | remaining: 298s    
step 00016 (0.6%) | loss: 5.845109 | lrm: 1.00 | dt: 323ms | tok/sec: 1,622,678 | mfu: 39.2% | epoch: 1 | remaining: 298s    
step 00017 (0.7%) | loss: 5.791519 | lrm: 1.00 | dt: 322ms | tok/sec: 1,628,453 | mfu: 39.3% | epoch: 1 | remaining: 298s    
step 00018 (0.8%) | loss: 5.743224 | lrm: 1.00 | dt: 330ms | tok/sec: 1,587,860 | mfu: 38.4% | epoch: 1 | remaining: 297s    
step 00019 (0.9%) | loss: 5.698436 | lrm: 1.00 | dt: 323ms | tok/sec: 1,625,009 | mfu: 39.3% | epoch: 1 | remaining: 297s    
step 00020 (1.0%) | loss: 5.657487 | lrm: 1.00 | dt: 330ms | tok/sec: 1,588,197 | mfu: 38.4% | epoch: 1 | remaining: 297s    
step 00021 (1.1%) | loss: 5.619332 | lrm: 1.00 | dt: 325ms | tok/sec: 1,613,527 | mfu: 39.0% | epoch: 1 | remaining: 296s    
step 00022 (1.2%) | loss: 5.586014 | lrm: 1.00 | dt: 329ms | tok/sec: 1,595,454 | mfu: 38.5% | epoch: 1 | remaining: 296s    
step 00023 (1.3%) | loss: 5.551484 | lrm: 1.00 | dt: 324ms | tok/sec: 1,620,614 | mfu: 39.2% | epoch: 1 | remaining: 296s    
step 00024 (1.4%) | loss: 5.518594 | lrm: 1.00 | dt: 319ms | tok/sec: 1,641,875 | mfu: 39.7% | epoch: 1 | remaining: 295s    
step 00025 (1.5%) | loss: 5.488642 | lrm: 1.00 | dt: 327ms | tok/sec: 1,601,493 | mfu: 38.7% | epoch: 1 | remaining: 295s    
step 00026 (1.6%) | loss: 5.460492 | lrm: 1.00 | dt: 322ms | tok/sec: 1,626,611 | mfu: 39.3% | epoch: 1 | remaining: 295s    
step 00027 (1.7%) | loss: 5.433371 | lrm: 1.00 | dt: 319ms | tok/sec: 1,641,460 | mfu: 39.7% | epoch: 1 | remaining: 294s    
step 00028 (1.8%) | loss: 5.409101 | lrm: 1.00 | dt: 325ms | tok/sec: 1,611,869 | mfu: 38.9% | epoch: 1 | remaining: 294s    
step 00029 (2.0%) | loss: 5.383752 | lrm: 1.00 | dt: 337ms | tok/sec: 1,555,026 | mfu: 37.6% | epoch: 1 | remaining: 294s    
step 00030 (2.1%) | loss: 5.356537 | lrm: 1.00 | dt: 321ms | tok/sec: 1,635,732 | mfu: 39.5% | epoch: 1 | remaining: 293s    
step 00031 (2.2%) | loss: 5.330720 | lrm: 1.00 | dt: 324ms | tok/sec: 1,619,836 | mfu: 39.1% | epoch: 1 | remaining: 293s    
step 00032 (2.3%) | loss: 5.307054 | lrm: 1.00 | dt: 327ms | tok/sec: 1,602,771 | mfu: 38.7% | epoch: 1 | remaining: 293s    
step 00033 (2.4%) | loss: 5.284502 | lrm: 1.00 | dt: 324ms | tok/sec: 1,617,736 | mfu: 39.1% | epoch: 1 | remaining: 292s    
step 00034 (2.5%) | loss: 5.256391 | lrm: 1.00 | dt: 322ms | tok/sec: 1,625,753 | mfu: 39.3% | epoch: 1 | remaining: 292s    
step 00035 (2.6%) | loss: 5.232207 | lrm: 1.00 | dt: 323ms | tok/sec: 1,620,744 | mfu: 39.2% | epoch: 1 | remaining: 292s    
step 00036 (2.7%) | loss: 5.208077 | lrm: 1.00 | dt: 345ms | tok/sec: 1,520,381 | mfu: 36.7% | epoch: 1 | remaining: 292s    
step 00037 (2.8%) | loss: 5.183823 | lrm: 1.00 | dt: 325ms | tok/sec: 1,613,262 | mfu: 39.0% | epoch: 1 | remaining: 291s    
step 00038 (2.9%) | loss: 5.158242 | lrm: 1.00 | dt: 324ms | tok/sec: 1,618,312 | mfu: 39.1% | epoch: 1 | remaining: 291s    
step 00039 (3.0%) | loss: 5.132842 | lrm: 1.00 | dt: 323ms | tok/sec: 1,623,709 | mfu: 39.2% | epoch: 1 | remaining: 291s    
step 00040 (3.2%) | loss: 5.108059 | lrm: 1.00 | dt: 318ms | tok/sec: 1,648,705 | mfu: 39.8% | epoch: 1 | remaining: 290s    
step 00041 (3.3%) | loss: 5.086609 | lrm: 1.00 | dt: 324ms | tok/sec: 1,616,819 | mfu: 39.1% | epoch: 1 | remaining: 290s    
step 00042 (3.4%) | loss: 5.062450 | lrm: 1.00 | dt: 332ms | tok/sec: 1,581,064 | mfu: 38.2% | epoch: 1 | remaining: 290s    
step 00043 (3.5%) | loss: 5.035714 | lrm: 1.00 | dt: 324ms | tok/sec: 1,619,887 | mfu: 39.1% | epoch: 1 | remaining: 289s    
step 00044 (3.6%) | loss: 5.009834 | lrm: 1.00 | dt: 332ms | tok/sec: 1,577,815 | mfu: 38.1% | epoch: 1 | remaining: 289s    
step 00045 (3.7%) | loss: 4.985372 | lrm: 1.00 | dt: 326ms | tok/sec: 1,607,484 | mfu: 38.8% | epoch: 1 | remaining: 289s    
step 00046 (3.8%) | loss: 4.960538 | lrm: 1.00 | dt: 322ms | tok/sec: 1,627,045 | mfu: 39.3% | epoch: 1 | remaining: 288s    
step 00047 (3.9%) | loss: 4.928616 | lrm: 1.00 | dt: 330ms | tok/sec: 1,587,790 | mfu: 38.4% | epoch: 1 | remaining: 288s    
step 00048 (4.0%) | loss: 4.907933 | lrm: 1.00 | dt: 329ms | tok/sec: 1,592,192 | mfu: 38.5% | epoch: 1 | remaining: 288s    
step 00049 (4.1%) | loss: 4.881380 | lrm: 1.00 | dt: 324ms | tok/sec: 1,619,654 | mfu: 39.1% | epoch: 1 | remaining: 287s    
step 00050 (4.2%) | loss: 4.854748 | lrm: 1.00 | dt: 325ms | tok/sec: 1,612,391 | mfu: 39.0% | epoch: 1 | remaining: 287s    
step 00051 (4.4%) | loss: 4.830603 | lrm: 1.00 | dt: 328ms | tok/sec: 1,599,109 | mfu: 38.6% | epoch: 1 | remaining: 287s    
step 00052 (4.5%) | loss: 4.805709 | lrm: 1.00 | dt: 325ms | tok/sec: 1,611,895 | mfu: 38.9% | epoch: 1 | remaining: 286s    
step 00053 (4.6%) | loss: 4.780692 | lrm: 1.00 | dt: 322ms | tok/sec: 1,627,520 | mfu: 39.3% | epoch: 1 | remaining: 286s    
step 00054 (4.7%) | loss: 4.754961 | lrm: 1.00 | dt: 325ms | tok/sec: 1,614,683 | mfu: 39.0% | epoch: 1 | remaining: 286s    
