Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to enable higher rate limits and faster downloads.
Attention backend: flash (cuda capability 9.0)
Vocab size: 8,192
Model config: {'sequence_len': 2048, 'vocab_size': 8192, 'n_layer': 8, 'n_head': 4, 'n_kv_head': 4, 'n_embd': 512, 'window_pattern': 'SSSL'}
Parameter counts:
  wte                     : 4,194,304
  value_embeds            : 0
  lm_head                 : 4,194,304
  transformer_matrices    : 25,165,824
  scalars                 : 16
  total                   : 33,554,448
Estimated FLOPs per token: 2.390753e+08
Scaling AdamW LRs by 1/sqrt(512/768) = 1.224745
Time budget: 300s
Gradient accumulation steps: 2

step 00000 (0.0%) | loss: 9.011198 | lrm: 1.00 | dt: 22218ms | tok/sec: 23,597 | mfu: 0.6% | epoch: 1 | remaining: 300s    
step 00001 (0.0%) | loss: 8.854701 | lrm: 1.00 | dt: 306ms | tok/sec: 1,714,811 | mfu: 41.4% | epoch: 1 | remaining: 300s    
step 00002 (0.0%) | loss: 8.443549 | lrm: 1.00 | dt: 308ms | tok/sec: 1,700,068 | mfu: 41.1% | epoch: 1 | remaining: 300s    
step 00003 (0.0%) | loss: 7.972688 | lrm: 1.00 | dt: 322ms | tok/sec: 1,627,290 | mfu: 39.3% | epoch: 1 | remaining: 300s    
step 00004 (0.0%) | loss: 7.578145 | lrm: 1.00 | dt: 324ms | tok/sec: 1,619,247 | mfu: 39.1% | epoch: 1 | remaining: 300s    
step 00005 (0.0%) | loss: 7.248286 | lrm: 1.00 | dt: 313ms | tok/sec: 1,675,741 | mfu: 40.5% | epoch: 1 | remaining: 300s    
step 00006 (0.0%) | loss: 6.997736 | lrm: 1.00 | dt: 319ms | tok/sec: 1,643,425 | mfu: 39.7% | epoch: 1 | remaining: 300s    
step 00007 (0.0%) | loss: 6.787727 | lrm: 1.00 | dt: 325ms | tok/sec: 1,611,654 | mfu: 38.9% | epoch: 1 | remaining: 300s    
step 00008 (0.0%) | loss: 6.608166 | lrm: 1.00 | dt: 317ms | tok/sec: 1,655,726 | mfu: 40.0% | epoch: 1 | remaining: 300s    
step 00009 (0.0%) | loss: 6.456545 | lrm: 1.00 | dt: 314ms | tok/sec: 1,668,325 | mfu: 40.3% | epoch: 1 | remaining: 300s    
step 00010 (0.0%) | loss: 6.326920 | lrm: 1.00 | dt: 322ms | tok/sec: 1,628,570 | mfu: 39.3% | epoch: 1 | remaining: 300s    
step 00011 (0.0%) | loss: 6.218969 | lrm: 1.00 | dt: 316ms | tok/sec: 1,660,950 | mfu: 40.1% | epoch: 1 | remaining: 300s    
step 00012 (0.1%) | loss: 6.122982 | lrm: 1.00 | dt: 316ms | tok/sec: 1,660,394 | mfu: 40.1% | epoch: 1 | remaining: 299s    
step 00013 (0.2%) | loss: 6.037568 | lrm: 1.00 | dt: 340ms | tok/sec: 1,542,000 | mfu: 37.3% | epoch: 1 | remaining: 299s    
step 00014 (0.3%) | loss: 5.965567 | lrm: 1.00 | dt: 314ms | tok/sec: 1,668,505 | mfu: 40.3% | epoch: 1 | remaining: 299s    
step 00015 (0.4%) | loss: 5.900778 | lrm: 1.00 | dt: 320ms | tok/sec: 1,638,577 | mfu: 39.6% | epoch: 1 | remaining: 298s    
step 00016 (0.5%) | loss: 5.845698 | lrm: 1.00 | dt: 327ms | tok/sec: 1,601,328 | mfu: 38.7% | epoch: 1 | remaining: 298s    
step 00017 (0.6%) | loss: 5.792716 | lrm: 1.00 | dt: 317ms | tok/sec: 1,655,362 | mfu: 40.0% | epoch: 1 | remaining: 298s    
step 00018 (0.7%) | loss: 5.745265 | lrm: 1.00 | dt: 317ms | tok/sec: 1,651,689 | mfu: 39.9% | epoch: 1 | remaining: 297s    
step 00019 (0.9%) | loss: 5.701451 | lrm: 1.00 | dt: 323ms | tok/sec: 1,622,423 | mfu: 39.2% | epoch: 1 | remaining: 297s    
step 00020 (1.0%) | loss: 5.661476 | lrm: 1.00 | dt: 319ms | tok/sec: 1,643,235 | mfu: 39.7% | epoch: 1 | remaining: 297s    
step 00021 (1.1%) | loss: 5.624642 | lrm: 1.00 | dt: 315ms | tok/sec: 1,662,287 | mfu: 40.2% | epoch: 1 | remaining: 296s    
step 00022 (1.2%) | loss: 5.592893 | lrm: 1.00 | dt: 323ms | tok/sec: 1,625,404 | mfu: 39.3% | epoch: 1 | remaining: 296s    
step 00023 (1.3%) | loss: 5.560126 | lrm: 1.00 | dt: 319ms | tok/sec: 1,642,465 | mfu: 39.7% | epoch: 1 | remaining: 296s    
step 00024 (1.4%) | loss: 5.529438 | lrm: 1.00 | dt: 314ms | tok/sec: 1,670,782 | mfu: 40.4% | epoch: 1 | remaining: 296s    
step 00025 (1.5%) | loss: 5.502902 | lrm: 1.00 | dt: 323ms | tok/sec: 1,621,602 | mfu: 39.2% | epoch: 1 | remaining: 295s    
step 00026 (1.6%) | loss: 5.478370 | lrm: 1.00 | dt: 321ms | tok/sec: 1,634,677 | mfu: 39.5% | epoch: 1 | remaining: 295s    
step 00027 (1.7%) | loss: 5.455159 | lrm: 1.00 | dt: 319ms | tok/sec: 1,644,574 | mfu: 39.7% | epoch: 1 | remaining: 295s    
step 00028 (1.8%) | loss: 5.435427 | lrm: 1.00 | dt: 320ms | tok/sec: 1,637,731 | mfu: 39.6% | epoch: 1 | remaining: 294s    
step 00029 (1.9%) | loss: 5.414923 | lrm: 1.00 | dt: 319ms | tok/sec: 1,645,187 | mfu: 39.7% | epoch: 1 | remaining: 294s    
step 00030 (2.0%) | loss: 5.392263 | lrm: 1.00 | dt: 318ms | tok/sec: 1,647,582 | mfu: 39.8% | epoch: 1 | remaining: 294s    
step 00031 (2.1%) | loss: 5.370754 | lrm: 1.00 | dt: 321ms | tok/sec: 1,634,172 | mfu: 39.5% | epoch: 1 | remaining: 293s    
step 00032 (2.2%) | loss: 5.352436 | lrm: 1.00 | dt: 319ms | tok/sec: 1,644,093 | mfu: 39.7% | epoch: 1 | remaining: 293s    
step 00033 (2.3%) | loss: 5.336049 | lrm: 1.00 | dt: 320ms | tok/sec: 1,639,410 | mfu: 39.6% | epoch: 1 | remaining: 293s    
step 00034 (2.5%) | loss: 5.313394 | lrm: 1.00 | dt: 320ms | tok/sec: 1,637,030 | mfu: 39.6% | epoch: 1 | remaining: 292s    
step 00035 (2.6%) | loss: 5.294405 | lrm: 1.00 | dt: 320ms | tok/sec: 1,640,445 | mfu: 39.6% | epoch: 1 | remaining: 292s    
