Attention backend: flash (cuda capability 9.0)
Vocab size: 8,192
Model config: {'sequence_len': 2048, 'vocab_size': 8192, 'n_layer': 8, 'n_head': 4, 'n_kv_head': 4, 'n_embd': 512, 'window_pattern': 'SSSL'}
Parameter counts:
  wte                     : 4,194,304
  value_embeds            : 8,388,608
  lm_head                 : 4,194,304
  transformer_matrices    : 25,166,080
  scalars                 : 16
  total                   : 41,943,312
Estimated FLOPs per token: 2.390769e+08
Scaling AdamW LRs by 1/sqrt(512/768) = 1.224745
Time budget: 300s
Gradient accumulation steps: 2

step 00000 (0.0%) | loss: 9.011198 | lrm: 1.00 | dt: 32335ms | tok/sec: 16,214 | mfu: 0.4% | epoch: 1 | remaining: 300s    
step 00001 (0.0%) | loss: 8.854699 | lrm: 1.00 | dt: 311ms | tok/sec: 1,683,661 | mfu: 40.7% | epoch: 1 | remaining: 300s    
step 00002 (0.0%) | loss: 8.442992 | lrm: 1.00 | dt: 312ms | tok/sec: 1,678,390 | mfu: 40.6% | epoch: 1 | remaining: 300s    
step 00003 (0.0%) | loss: 7.972223 | lrm: 1.00 | dt: 377ms | tok/sec: 1,391,291 | mfu: 33.6% | epoch: 1 | remaining: 300s    
step 00004 (0.0%) | loss: 7.580345 | lrm: 1.00 | dt: 335ms | tok/sec: 1,565,439 | mfu: 37.8% | epoch: 1 | remaining: 300s    
step 00005 (0.0%) | loss: 7.250301 | lrm: 1.00 | dt: 316ms | tok/sec: 1,661,014 | mfu: 40.1% | epoch: 1 | remaining: 300s    
step 00006 (0.0%) | loss: 6.999631 | lrm: 1.00 | dt: 322ms | tok/sec: 1,627,949 | mfu: 39.3% | epoch: 1 | remaining: 300s    
step 00007 (0.0%) | loss: 6.789232 | lrm: 1.00 | dt: 326ms | tok/sec: 1,610,424 | mfu: 38.9% | epoch: 1 | remaining: 300s    
step 00008 (0.0%) | loss: 6.609339 | lrm: 1.00 | dt: 318ms | tok/sec: 1,649,548 | mfu: 39.9% | epoch: 1 | remaining: 300s    
step 00009 (0.0%) | loss: 6.457501 | lrm: 1.00 | dt: 323ms | tok/sec: 1,622,873 | mfu: 39.2% | epoch: 1 | remaining: 300s    
step 00010 (0.0%) | loss: 6.327699 | lrm: 1.00 | dt: 324ms | tok/sec: 1,617,066 | mfu: 39.1% | epoch: 1 | remaining: 300s    
step 00011 (0.0%) | loss: 6.219511 | lrm: 1.00 | dt: 318ms | tok/sec: 1,646,954 | mfu: 39.8% | epoch: 1 | remaining: 300s    
step 00012 (0.1%) | loss: 6.123297 | lrm: 1.00 | dt: 322ms | tok/sec: 1,629,219 | mfu: 39.4% | epoch: 1 | remaining: 299s    
step 00013 (0.2%) | loss: 6.037604 | lrm: 1.00 | dt: 324ms | tok/sec: 1,618,387 | mfu: 39.1% | epoch: 1 | remaining: 299s    
step 00014 (0.3%) | loss: 5.965362 | lrm: 1.00 | dt: 320ms | tok/sec: 1,640,374 | mfu: 39.6% | epoch: 1 | remaining: 299s    
step 00015 (0.4%) | loss: 5.900561 | lrm: 1.00 | dt: 323ms | tok/sec: 1,624,461 | mfu: 39.2% | epoch: 1 | remaining: 298s    
step 00016 (0.5%) | loss: 5.845104 | lrm: 1.00 | dt: 325ms | tok/sec: 1,613,471 | mfu: 39.0% | epoch: 1 | remaining: 298s    
step 00017 (0.6%) | loss: 5.791499 | lrm: 1.00 | dt: 321ms | tok/sec: 1,630,795 | mfu: 39.4% | epoch: 1 | remaining: 298s    
step 00018 (0.8%) | loss: 5.743193 | lrm: 1.00 | dt: 317ms | tok/sec: 1,654,947 | mfu: 40.0% | epoch: 1 | remaining: 297s    
step 00019 (0.9%) | loss: 5.698359 | lrm: 1.00 | dt: 323ms | tok/sec: 1,622,634 | mfu: 39.2% | epoch: 1 | remaining: 297s    
step 00020 (1.0%) | loss: 5.657439 | lrm: 1.00 | dt: 321ms | tok/sec: 1,631,085 | mfu: 39.4% | epoch: 1 | remaining: 297s    
step 00021 (1.1%) | loss: 5.619331 | lrm: 1.00 | dt: 324ms | tok/sec: 1,615,860 | mfu: 39.0% | epoch: 1 | remaining: 296s    
step 00022 (1.2%) | loss: 5.585994 | lrm: 1.00 | dt: 326ms | tok/sec: 1,610,519 | mfu: 38.9% | epoch: 1 | remaining: 296s    
step 00023 (1.3%) | loss: 5.551463 | lrm: 1.00 | dt: 323ms | tok/sec: 1,624,539 | mfu: 39.3% | epoch: 1 | remaining: 296s    
step 00024 (1.4%) | loss: 5.518575 | lrm: 1.00 | dt: 322ms | tok/sec: 1,628,397 | mfu: 39.3% | epoch: 1 | remaining: 295s    
step 00025 (1.5%) | loss: 5.488629 | lrm: 1.00 | dt: 324ms | tok/sec: 1,615,851 | mfu: 39.0% | epoch: 1 | remaining: 295s    
step 00026 (1.6%) | loss: 5.460495 | lrm: 1.00 | dt: 322ms | tok/sec: 1,627,661 | mfu: 39.3% | epoch: 1 | remaining: 295s    
step 00027 (1.7%) | loss: 5.433338 | lrm: 1.00 | dt: 323ms | tok/sec: 1,621,717 | mfu: 39.2% | epoch: 1 | remaining: 295s    
step 00028 (1.8%) | loss: 5.409058 | lrm: 1.00 | dt: 326ms | tok/sec: 1,610,041 | mfu: 38.9% | epoch: 1 | remaining: 294s    
step 00029 (1.9%) | loss: 5.383735 | lrm: 1.00 | dt: 330ms | tok/sec: 1,589,945 | mfu: 38.4% | epoch: 1 | remaining: 294s    
step 00030 (2.0%) | loss: 5.356524 | lrm: 1.00 | dt: 323ms | tok/sec: 1,623,842 | mfu: 39.2% | epoch: 1 | remaining: 294s    
step 00031 (2.2%) | loss: 5.330725 | lrm: 1.00 | dt: 324ms | tok/sec: 1,620,470 | mfu: 39.2% | epoch: 1 | remaining: 293s    
step 00032 (2.3%) | loss: 5.307141 | lrm: 1.00 | dt: 323ms | tok/sec: 1,622,878 | mfu: 39.2% | epoch: 1 | remaining: 293s    
